Country or Area,Value
Afghanistan,0.16
Albania,1.83
Algeria,1.55
Andorra,6.92
Angola,0.02
Antigua and Barbuda,1.13
Armenia,4.04
Australia,12.76
Austria,19.71
Azerbaijan,5.08
Bahrain,8.18
Bangladesh,0.07
Barbados,4.29
Belarus,8.77
Belize,0.96
Benin,0.14
Bhutan,0.28
Bolivia (Plurinational State of),1.06
Bosnia and Herzegovina,4.95
Botswana,0.25
Brazil,3.07
Brunei Darussalam,0.98
Bulgaria,6.75
Burkina Faso,0.04
Burundi,0.01
Cabo Verde,1.37
Cambodia,0.23
Cameroon,0.03
Canada,12.61
Central African Republic,0.02
Chad,0.01
Chile,0.99
China,1.53
Comoros,0.14
Congo,0.03
Cook Islands,5.02
Costa Rica,2.33
Côte d’Ivoire,0.16
Croatia,10.25
Cuba,10.85
Cyprus,6.82
Czech Republic,11.85
Democratic Republic of the Congo,0.07
Denmark,14.12
Dominica,3.01
Dominican Republic,1.33
Ecuador,1
Egypt,0.54
El Salvador,0.16
Eritrea,0
Estonia,13.5
Ethiopia,0.04
Fiji,0.23
Finland,28.06
France,22.35
Gabon,0.27
Gambia,0.17
Georgia,6.87
Germany,15.23
Ghana,0.07
Greece,12.88
Grenada,1.92
Guatemala,0.59
Guinea,0.03
Guinea-Bissau,0
Guyana,0.53
Haiti,0.2
Honduras,0.77
Hungary,6.52
Iceland,19.74
India,0.3
Indonesia,0.01
Iran (Islamic Republic of),1.49
Iraq,0.27
Ireland,6.06
Israel,8.24
Italy,7.81
Jamaica,1.1
Japan,10.1
Jordan,1.08
Kazakhstan,6.26
Kenya,0.19
Kiribati,1
Kuwait,2.62
Kyrgyzstan,3.51
Lao People's Democratic Republic,0.03
Latvia,10.85
Lebanon,1.41
Lesotho,0.05
Liberia,0.02
Lithuania,17.76
Luxembourg,21.15
Madagascar,0.05
Malawi,0.01
Malaysia,0.83
Maldives,1.59
Mali,0.04
Malta,3.17
Marshall Islands,1.58
Mauritania,0.09
Mauritius,1.62
Mexico,1.57
Micronesia (Federated States of),0.9
Monaco,36.47
Mongolia,0.52
Montenegro,7.03
Morocco,0.9
Mozambique,0.04
Myanmar,0.09
Namibia,0.23
Nauru,0
Nepal,0.18
Netherlands,18.77
New Zealand,9.76
Nicaragua,0.88
Niger,0.03
Nigeria,0.06
Niue,0
Norway,30.77
Oman,2.31
Pakistan,0.19
Palau,4.87
Panama,3.99
Papua New Guinea,0.09
Paraguay,0.84
Peru,0.57
Philippines,0.38
Poland,5.13
Portugal,6.14
Qatar,1.66
Republic of Korea,5.12
Republic of Moldova,5.03
Romania,6.45
Russian Federation,11.61
Rwanda,0.05
Saint Kitts and Nevis,1.91
Saint Lucia,1.72
Saint Vincent and the Grenadines,1.83
Samoa,0.56
San Marino,15.85
Sao Tome and Principe,0.6
Saudi Arabia,2.91
Senegal,0.33
Serbia,9.61
Seychelles,2.36
Sierra Leone,0.02
Singapore,2.81
Slovakia,11.48
Slovenia,7.06
Solomon Islands,0.19
Somalia,0.04
South Africa,0.27
Spain,8.59
Sri Lanka,0.29
Sudan,0.06
Suriname,1.14
Swaziland,0.17
Sweden,3.55
Switzerland,41.42
Syrian Arab Republic,0.31
Tajikistan,1.36
Thailand,0.44
The former Yugoslav Republic of Macedonia,9.98
Timor-Leste,0.17
Togo,0.03
Tonga,1.92
Trinidad and Tobago,0.67
Tunisia,1.98
Turkey,2.13
Uganda,0.09
Ukraine,10.11
United Arab Emirates,0.3
United Republic of Tanzania,0.04
United States of America,7.79
Uzbekistan,3.37
Vanuatu,0
Viet Nam,1.01
Yemen,0.21
Zambia,0.03
Zimbabwe,0.06
